date,open,high,close,low,volume,amount
2018-03-26,24.46,25.99,25.92,24.45,36669490.0,937172473.0
2018-03-23,24.82,25.45,25.0,24.3,48487562.0,1216604461.0
2018-03-22,27.09,27.39,26.36,26.18,27814351.0,746959993.0
2018-03-21,27.02,27.9,27.06,27.0,38213019.0,1060615384.0
2018-03-20,26.76,26.97,26.94,26.12,24867906.0,666491786.0
2018-03-19,26.94,27.27,26.9,26.39,30183897.0,818202972.0
2018-03-16,28.37,28.42,26.96,26.81,54401873.0,1498577680.0
2018-03-15,28.02,28.71,28.42,27.81,24075607.0,683886165.0
2018-03-14,28.36,28.88,28.2,28.11,19560685.0,559482040.0
2018-03-13,29.55,29.55,28.71,28.55,29838352.0,869244616.0
2018-03-12,29.43,30.3,29.65,29.21,34707586.0,1039159218.0
2018-03-09,28.26,29.46,29.06,28.26,39770268.0,1159318405.0
2018-03-08,27.93,28.21,28.17,27.49,24316370.0,683990127.0
2018-03-07,28.36,28.41,27.97,27.71,23994629.0,676880652.0
2018-03-06,28.4,29.1,28.51,28.29,29274757.0,846241528.0
2018-03-05,28.14,28.65,28.39,27.67,34557663.0,980403572.0
2018-03-02,29.75,30.02,28.11,28.08,62480065.0,1813183742.0
2018-03-01,28.37,30.2,30.12,28.33,59206903.0,1766095328.0
2018-02-28,28.89,29.55,28.66,28.42,47401349.0,1382352438.0
2018-02-27,28.92,29.16,29.16,28.53,51010479.0,1483461426.0
2018-02-26,26.3,28.92,28.91,26.3,111040183.0,3173217520.0
2018-02-23,26.43,26.66,26.29,25.96,26897651.0,712087090.0
2018-02-22,26.26,26.91,26.68,25.81,38486704.0,1019367932.0
2018-02-14,26.06,26.17,25.9,25.71,12094641.0,316357192.0
2018-02-13,26.08,26.36,25.96,25.65,27731995.0,727567833.0
2018-02-12,24.4,25.88,25.86,24.4,38215966.0,982298526.0
2018-02-09,23.85,24.74,24.22,23.41,27695865.0,672187311.0
2018-02-08,23.6,25.56,25.09,23.41,33701950.0,843479917.0
2018-02-07,26.61,26.78,24.13,24.0,34299274.0,873514350.0
2018-02-06,25.79,26.55,26.27,24.86,43038285.0,1113440844.0
2018-02-05,26.78,27.97,26.85,26.59,25231090.0,692531009.0
2018-02-02,25.99,27.46,27.3,25.09,33630424.0,897578415.0
2018-02-01,25.93,26.75,25.99,25.44,31541204.0,831886613.0
2018-01-31,26.28,27.02,26.05,25.74,28421048.0,753628183.0
2018-01-30,24.69,26.37,26.37,24.55,44614871.0,1158994463.0
2018-01-29,26.38,26.66,24.99,24.01,47610560.0,1208394225.0
2018-01-26,25.69,26.23,26.18,25.31,25919982.0,677061799.0
2018-01-25,26.18,26.3,25.53,25.11,31260781.0,806045320.0
2018-01-24,26.28,26.32,26.08,25.69,28359918.0,742034411.0
2018-01-23,25.95,26.56,26.37,25.65,35602418.0,937980503.0
2018-01-22,24.74,26.49,25.96,24.5,55053977.0,1429259143.0
2018-01-19,22.88,24.99,24.94,22.88,48268945.0,1180749757.0
2018-01-18,22.77,23.6,23.1,22.62,19809665.0,463816522.0
2018-01-17,23.24,23.33,22.78,22.14,31445940.0,719788690.0
2018-01-16,23.22,23.76,23.21,22.91,24900896.0,585558932.0
2018-01-15,23.8,23.89,23.23,22.94,28036491.0,657978436.0
2018-01-12,24.0,24.4,24.0,23.83,21289612.0,517733803.0
2018-01-11,23.4,24.25,24.19,23.04,31150178.0,744624317.0
2018-01-10,23.75,23.75,23.6,23.33,19497853.0,462989064.0
2018-01-09,23.33,23.9,23.79,22.96,24095310.0,572212114.0
2018-01-08,23.74,23.75,23.37,22.7,38242674.0,890711305.0
2018-01-05,24.27,24.3,23.8,23.6,26415196.0,634015248.0
2018-01-04,24.15,24.53,24.24,23.7,32452528.0,789945335.0
2018-01-03,23.11,24.68,24.09,23.08,49801479.0,1208681344.0
2018-01-02,23.06,23.3,22.99,22.52,36427315.0,843409014.0
2017-12-29,21.64,23.0,22.9,21.64,51063385.0,1158133758.0
2017-12-28,21.17,21.61,21.39,21.13,43020844.0,927945320.0
2017-12-27,22.47,22.53,21.02,20.92,47971321.0,1045710783.0
2017-12-26,22.78,22.85,22.33,21.92,44230992.0,993859784.0
2017-12-25,23.37,23.55,22.69,22.51,41723008.0,963174579.0
2017-12-22,23.79,24.2,23.27,23.17,39734989.0,945368497.0
2017-12-21,23.06,24.16,23.82,22.48,56771842.0,1340938476.0
2017-12-20,23.41,23.6,23.09,22.94,29325499.0,683620677.0
2017-12-19,23.55,23.84,23.41,23.25,22328118.0,529500246.0
2017-12-18,23.25,23.53,23.47,23.02,22655131.0,534076121.0
2017-12-15,23.7,23.88,23.25,22.91,37556729.0,882128249.0
2017-12-14,24.99,25.03,23.95,23.23,51867470.0,1244616155.0
2017-12-13,24.72,25.07,24.95,24.42,14551964.0,363910857.0
2017-12-12,25.2,25.73,24.83,24.71,19948916.0,507819692.0
2017-12-11,24.78,25.73,25.35,24.71,25404408.0,648727681.0
2017-12-08,24.4,25.23,24.99,24.25,17418520.0,436662434.0
2017-12-07,24.95,24.95,24.47,23.98,19835464.0,486593120.0
2017-12-06,25.59,25.61,24.94,24.42,17764649.0,449404649.0
2017-12-05,25.24,26.03,25.57,25.07,24298399.0,626116128.0
2017-12-04,24.43,25.47,25.23,24.43,18859038.0,477968835.0
2017-12-01,23.95,24.9,24.3,23.94,21410792.0,529530529.0
2017-11-30,24.56,24.86,24.14,23.8,17280983.0,424776687.0
2017-11-29,25.24,25.27,24.74,24.01,27837478.0,690308742.0
2017-11-28,25.23,25.73,25.26,24.74,24139060.0,611700042.0
2017-11-27,25.9,25.9,25.44,25.04,19850922.0,508399602.0
2017-11-24,25.34,26.17,26.02,24.77,25700273.0,661125278.0
2017-11-23,27.4,27.67,25.73,25.49,38951907.0,1035513543.0
2017-11-22,28.73,29.08,27.75,27.61,30659178.0,878934036.0
2017-11-21,28.44,28.89,28.78,28.02,28869689.0,825691097.0
2017-11-20,27.72,28.53,28.53,27.27,19263898.0,545431492.0
2017-11-17,28.55,28.55,28.02,27.29,27850033.0,781980181.0
2017-11-16,28.26,28.7,28.57,27.61,25332530.0,718905083.0
2017-11-15,28.77,29.35,28.52,27.47,29431772.0,837113575.0
2017-11-14,29.34,30.44,29.03,28.85,29613539.0,883359651.0
2017-11-13,28.76,29.74,29.41,28.32,27318500.0,802774097.0
2017-11-10,28.23,29.06,28.69,28.05,30826444.0,887546143.0
2017-11-09,27.29,28.27,28.27,27.01,28489920.0,795075820.0
2017-11-08,28.33,28.61,27.47,27.22,33510827.0,943846015.0
2017-11-07,28.88,29.14,28.32,28.12,28717219.0,824979393.0
2017-11-06,27.75,28.97,28.88,27.42,32339157.0,926233033.0
2017-11-03,28.08,28.51,27.77,27.64,20045846.0,567067439.0
2017-11-02,27.58,28.07,28.03,27.02,25854102.0,717246172.0
2017-11-01,27.53,28.21,27.77,27.27,33373419.0,937327650.0
2017-10-31,26.76,27.6,27.52,26.63,29371020.0,807256374.0
2017-10-30,26.03,26.99,26.8,26.03,32173235.0,862440282.0
2017-10-27,26.88,26.93,26.01,25.9,24327528.0,648488636.0
2017-10-26,26.58,27.79,26.79,26.31,28188080.0,771263488.0
2017-10-25,26.24,26.6,26.55,26.08,16783016.0,446745438.0
2017-10-24,25.51,26.3,26.27,25.1,20808255.0,542323463.0
2017-10-23,25.6,26.13,25.71,25.29,12788991.0,333013857.0
2017-10-20,25.43,25.7,25.44,25.02,11291351.0,289018980.0
2017-10-19,26.41,26.71,25.69,25.49,19755817.0,517539619.0
2017-10-18,25.74,26.64,26.63,25.6,27538165.0,728973859.0
2017-10-17,25.68,26.2,25.74,25.4,23188820.0,603010274.0
2017-10-16,25.17,26.29,25.68,25.12,34690054.0,906435143.0
2017-10-13,25.29,25.52,25.37,24.99,17525979.0,446774174.0
2017-10-12,25.14,25.79,25.26,24.93,28953629.0,740132830.0
2017-10-11,24.15,25.39,25.23,23.88,42696269.0,1073825623.0
2017-10-10,24.4,24.58,24.27,23.77,29903950.0,725486313.0
2017-10-09,24.11,25.05,24.4,24.0,42655930.0,1052231854.0
2017-09-29,22.91,24.18,23.87,22.89,26434406.0,633576142.0
2017-09-28,23.64,23.83,23.02,22.87,25634844.0,597733362.0
2017-09-27,23.95,24.03,23.7,23.68,15702340.0,377440617.0
2017-09-26,24.0,24.05,23.95,23.52,11581158.0,277511397.0
2017-09-25,23.68,24.19,23.95,23.55,16286509.0,393629447.0
2017-09-22,23.69,24.08,23.68,23.45,14731668.0,354197354.0
2017-09-21,23.7,24.08,23.76,23.21,15660212.0,374669427.0
2017-09-20,23.41,23.67,23.55,23.01,15231118.0,360004648.0
2017-09-19,23.9,24.07,23.46,22.85,42264796.0,996716967.0
2017-09-18,24.98,25.19,23.9,23.9,33231894.0,819663258.0
2017-09-15,24.57,25.06,24.87,24.46,13815583.0,345609559.0
2017-09-14,25.0,25.23,24.6,24.16,26985699.0,669126870.0
2017-09-13,24.92,25.08,24.94,24.59,14297340.0,358475269.0
2017-09-12,25.09,25.37,24.92,24.55,27216702.0,680008274.0
2017-09-11,25.38,25.95,25.06,24.82,24038361.0,611873097.0
2017-09-08,25.44,25.58,25.37,25.09,12701862.0,324387443.0
2017-09-07,26.04,26.11,25.42,25.21,27360338.0,702660642.0
2017-09-06,26.37,26.44,26.07,25.77,20024976.0,525608158.0
2017-09-05,26.36,26.66,26.57,25.94,22086609.0,585655930.0
2017-09-04,24.89,26.64,26.48,24.88,46498902.0,1217937209.0
2017-09-01,24.46,25.13,24.81,24.37,27372386.0,684820852.0
2017-08-31,24.79,25.22,24.43,23.98,26238763.0,646101927.0
2017-08-30,24.61,25.34,24.91,24.52,21114907.0,532860547.0
2017-08-29,24.68,24.83,24.64,24.26,15108088.0,373568297.0
2017-08-28,24.28,25.34,24.68,24.16,27501859.0,688318230.0
2017-08-25,24.12,24.78,24.27,24.12,17976198.0,442159013.0
2017-08-24,24.19,24.68,24.24,24.1,16884975.0,415826867.0
2017-08-23,24.41,24.45,24.21,23.8,19402127.0,472413261.0
2017-08-22,24.94,25.22,24.54,24.47,23626744.0,589067504.0
2017-08-21,25.42,25.69,25.01,24.82,24513722.0,620857633.0
2017-08-18,24.3,25.98,25.78,23.83,61080684.0,1522599447.0
2017-08-17,25.29,26.38,25.4,25.1,27299480.0,705676315.0
2017-08-16,25.64,26.01,25.49,24.91,44551122.0,1143583703.0
2017-08-15,23.93,25.86,25.86,23.93,57841909.0,1453961395.0
2017-08-14,23.73,25.28,23.74,23.54,57225434.0,1403228898.0
2017-08-11,24.02,24.69,23.75,23.73,19928891.0,486067747.0
2017-08-10,22.99,24.41,23.97,22.96,24370400.0,587830323.0
2017-08-09,22.84,23.34,23.03,22.57,17371130.0,403986027.0
2017-08-08,22.76,23.24,22.85,22.76,11938033.0,276659781.0
2017-08-07,22.15,23.02,22.88,22.07,19781750.0,451444460.0
2017-08-04,22.66,22.78,22.18,21.92,23835086.0,536156669.0
2017-08-03,23.64,23.74,22.65,22.46,31448721.0,725797504.0
2017-08-02,23.6,23.89,23.69,23.47,12372723.0,295063104.0
2017-08-01,23.75,23.98,23.75,23.38,15492794.0,369586157.0
2017-07-31,24.12,24.44,23.88,23.55,32154710.0,773351354.0
2017-07-28,23.5,24.37,24.2,23.5,25279089.0,614563940.0
2017-07-27,23.77,24.08,23.49,23.41,27970286.0,670118357.0
2017-07-26,23.9,24.24,23.94,22.93,28130416.0,664935646.0
2017-07-25,24.94,25.23,23.9,23.77,38911085.0,947025417.0
2017-07-24,23.83,24.93,24.73,23.72,38726501.0,956244601.0
2017-07-21,24.33,24.75,23.83,23.65,26840518.0,653273303.0
2017-07-20,24.4,24.74,24.15,24.01,26065423.0,636181348.0
2017-07-19,23.49,24.6,24.56,23.31,31572046.0,767683149.0
2017-07-18,24.43,24.6,23.65,22.46,41835290.0,986953533.0
2017-07-17,24.66,25.33,24.49,23.7,34503814.0,851600766.0
2017-07-14,23.74,25.09,24.7,23.39,26281192.0,647780401.0
2017-07-13,23.81,24.33,23.77,23.34,17417511.0,418130887.0
2017-07-12,24.06,24.71,23.7,23.62,26070888.0,635995498.0
2017-07-11,23.0,24.1,24.1,22.79,35455963.0,848081881.0
2017-07-10,23.01,23.69,23.11,22.24,28445817.0,664719253.0
2017-07-07,22.73,23.07,23.0,22.59,14692968.0,338389156.0
2017-07-06,22.47,23.56,22.93,22.47,29208936.0,678348914.0
2017-07-05,21.49,22.81,22.61,21.3,33063782.0,740251408.0
2017-07-04,22.12,22.31,21.48,21.15,38562944.0,834532045.0
2017-07-03,22.63,22.93,22.09,21.94,26834888.0,602460244.0
2017-06-30,22.48,22.89,22.62,22.41,17619248.0,401694880.0
2017-06-29,22.76,23.38,22.77,22.48,28045786.0,648748634.0
2017-06-28,23.0,23.39,22.51,22.33,24982184.0,572301287.0
2017-06-27,22.97,23.31,23.26,22.55,24456664.0,566558607.0
2017-06-26,22.69,23.74,22.93,22.48,35884101.0,838339561.0
2017-06-23,22.11,22.87,22.69,22.06,30548117.0,691737148.0
2017-06-22,22.45,22.92,22.06,21.85,37109719.0,841167283.0
2017-06-21,20.84,22.68,22.67,20.84,54785211.0,1206931310.0
2017-06-20,20.83,21.02,20.62,20.53,17994689.0,376271503.0
2017-06-19,20.63,21.07,20.81,20.29,20785344.0,436574014.0
2017-06-16,20.82,20.9,20.62,20.49,15287590.0,318662909.0
2017-06-15,20.78,21.02,20.82,20.49,25307679.0,528871622.0
2017-06-14,21.55,21.7,20.78,20.66,41531985.0,877283554.0
2017-06-13,21.53,21.98,21.7,21.32,18307321.0,400823961.0
2017-06-12,22.11,22.25,21.42,21.3,36498363.0,797984638.0
2017-06-09,21.85,22.67,22.41,21.78,34128201.0,765513182.0
2017-06-08,21.52,22.0,21.77,21.39,17571410.0,384391735.0
2017-06-07,20.28,22.09,21.73,20.05,41049332.0,878512416.0
2017-06-06,19.5,20.33,20.32,19.3,25762383.0,521147070.0
2017-06-05,19.43,19.84,19.44,19.11,16844515.0,333226192.0
2017-06-02,18.91,19.81,19.44,18.91,34640960.0,684509924.0
2017-06-01,18.39,19.46,19.04,18.31,31805030.0,612535330.0
2017-05-31,18.06,18.49,18.46,17.99,23356584.0,430624676.0
2017-05-26,18.56,18.56,18.03,17.78,35885858.0,657659332.0
2017-05-25,18.57,18.81,18.56,18.31,20931468.0,394338432.0
